player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Donny van de Beek,Manchester United,26.0,DF,DEF,3.0,5000000.0,0.0,1.09,4.44,0.41749225996219524,15.029180308147936,0.5144832835241848
Douglas Luiz,Aston Villa,25.0,MF,MID,2993.0,70000000.0,0.2702702702702703,0.21,0.16,0.07426435721016761,0.19096499891614807,0.07814712546102602
Dwight McNeil,Everton,23.0,"MF,FW",ATT,2892.0,22000000.0,0.09345794392523364,0.11,0.27,0.044917359187530426,0.36750265923985515,0.050501672083937646
Eberechi Eze,Crystal Palace,25.0,"MF,FW",ATT,2055.0,55000000.0,0.4824561403508772,0.4,0.23,0.12974053770488528,0.4246040065119669,0.13837108074430857
Eddie Nketiah,Arsenal,24.0,FW,ATT,1082.0,30000000.0,0.4166666666666667,0.38,0.07,0.10404742974419647,0.6242808327801821,0.11487561951137913
Ederson,Manchester City,29.0,GK,GK,2785.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Edson Álvarez,West Ham United,25.0,MF,MID,2377.0,35000000.0,0.03787878787878788,0.05,0.02,0.011490733622915673,0.05909489757266451,0.0125739896376918
Elijah Adebayo,Luton Town,25.0,FW,ATT,1419.0,12000000.0,0.6329113924050632,0.37,0.04,0.13998742045095805,2.09977981006722,0.16324387098045393
Elliot Anderson,Newcastle United,20.0,"MF,FW",ATT,1027.0,15000000.0,0.0,0.13,0.17,0.021450436499105732,0.2574021491634788,0.02467624614828513
Emerson,Tottenham Hotspur,24.0,DF,DEF,1161.0,12000000.0,0.07751937984496124,0.02,0.03,0.017556743323339716,0.2633471996421011,0.020473487779684274
Emerson Palmieri,West Ham United,28.0,DF,DEF,3137.0,13000000.0,0.02865329512893983,0.04,0.07,0.01315239132291306,0.1821075122132425,0.015262484197431335
Emil Krafth,Newcastle United,28.0,DF,DEF,913.0,2500000.0,0.0,0.02,0.1,0.009121272973603312,0.6566843728245951,0.011769178002942877
Emile Smith Rowe,Arsenal,23.0,MF,MID,353.0,22000000.0,0.0,0.5,0.06,0.03568948204106084,0.29200246395215634,0.04012654687374402
Emiliano Martínez,Aston Villa,30.0,GK,GK,3015.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Enes Ünal,Bournemouth,26.0,"FW,MF",ATT,328.0,18000000.0,0.5555555555555556,0.8,0.28,0.17160767572693506,1.7160595966733838,0.19526027588177125
Enso Gonzalez,Wolverhampton,18.0,"MF,DF",MID,1.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo Fernández,Chelsea,22.0,MF,MID,2209.0,75000000.0,0.12244897959183673,0.25,0.14,0.048556728507462905,0.11653586873182602,0.050901014229638636
Eric Dier,Tottenham Hotspur,29.0,DF,DEF,201.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Erling Haaland,Manchester City,23.0,FW,ATT,2552.0,180000000.0,0.9507042253521127,1.03,0.15,0.2467281745801273,0.24672792785219946,0.24672792786517936
Ethan Nwaneri,Arsenal,16.0,FW,ATT,14.0,8000000.0,0.0,0.0,0.15,0.011824324321661184,0.26604131130787223,0.014140464948393537
Ethan Pinnock,Brentford,30.0,DF,DEF,2521.0,12000000.0,0.07142857142857142,0.07,0.04,0.020344661328178474,0.30516534244254045,0.02372456938130163
Ethan Wheatley,Manchester United,17.0,FW,ATT,16.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Ferguson,Brighton,18.0,FW,ATT,1367.0,50000000.0,0.39473684210526316,0.3,0.04,0.09278163609040711,0.3340126874797907,0.09948562821823272
Ezri Konsa,Aston Villa,25.0,DF,DEF,3069.0,35000000.0,0.029325513196480937,0.07,0.02,0.011189534273212115,0.05754588031199213,0.012244395581616984
Fabian Schär,Newcastle United,31.0,DF,DEF,3054.0,10000000.0,0.11799410029498525,0.07,0.02,0.027149879944558752,0.4886890425992908,0.032018484541229734
Fábio Silva,Wolverhampton,21.0,FW,ATT,264.0,11000000.0,0.0,0.35,0.07,0.02718984463545267,0.44491744993095395,0.0318771189930583
Fabio Vieira,Arsenal,23.0,"MF,FW",ATT,297.0,22000000.0,0.30303030303030304,0.38,0.49,0.11670099239848414,0.954818489290867,0.1312097451092912
Facundo Buonanotte,Brighton,18.0,"FW,MF",ATT,1364.0,18000000.0,0.19736842105263158,0.16,0.12,0.05489289597255894,0.5489234704908844,0.06245875638224088
Facundo Pellistri,Manchester United,21.0,"FW,MF",ATT,172.0,8000000.0,0.0,0.38,0.05,0.027470853197974966,0.6180802901479083,0.03285182528669482
Felipe,Nottingham Forest,34.0,DF,DEF,375.0,900000.0,0.0,0.03,0.01,0.0026458734268545274,0.5290688715965861,0.003668371597566741
Finley Munroe,Aston Villa,18.0,MF,MID,4.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
Fodé Ballo-Touré,Fulham,26.0,"DF,MF",MID,71.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Onyeka,Brentford,25.0,MF,MID,1161.0,9000000.0,0.07751937984496124,0.17,0.14,0.035515840186276834,0.7103025976735832,0.04216024802266938
Fred Onyedinma,Luton Town,26.0,"DF,MF",MID,407.0,500000.0,0.0,0.04,0.02,0.0040533567612132,1.4586833080458554,0.005871501523878458
Gabriel Jesus,Arsenal,26.0,FW,ATT,1478.0,65000000.0,0.24390243902439027,0.39,0.23,0.08618167643704558,0.23865628923901758,0.09106109838429301
Gabriel Magalhães,Arsenal,25.0,DF,DEF,3044.0,70000000.0,0.1183431952662722,0.13,0.02,0.03092788731685283,0.07952864859823945,0.032544892074601706
Gabriel Martinelli,Arsenal,22.0,FW,ATT,2019.0,70000000.0,0.26785714285714285,0.31,0.27,0.08869311590767588,0.2280674258749286,0.09333026389431301
Gabriel Osho,Luton Town,24.0,DF,DEF,1846.0,3000000.0,0.0975609756097561,0.05,0.01,0.02144523912208209,1.2866371490959796,0.02733252264310093
George Baldock,Sheffield United,30.0,DF,DEF,969.0,2500000.0,0.0,0.0,0.07,0.0055180180167752205,0.39726869386185787,0.007119898335551971
George Earthy,West Ham United,18.0,FW,ATT,34.0,1000000.0,2.5,0.82,0.0,0.50077399361233,90.12309669281468,0.6890032991706992
Gio Reyna,Nottingham Forest,20.0,"FW,MF",ATT,235.0,13000000.0,0.0,0.11,0.18,0.021000334694720624,0.2907698389599,0.024369505784135433
Giovani Lo Celso,Tottenham Hotspur,27.0,MF,MID,506.0,16000000.0,0.35714285714285715,0.1,0.34,0.09727946651824464,1.0943816865362785,0.11147337692885084
Gonzalo Montiel,Nottingham Forest,26.0,DF,DEF,801.0,10000000.0,0.0,0.01,0.15,0.012443519367909111,0.22397931699465812,0.014674931651023399
Guglielmo Vicario,Tottenham Hotspur,26.0,GK,GK,3420.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Hamer,Sheffield United,26.0,MF,MID,2910.0,15000000.0,0.12383900928792571,0.09,0.19,0.04284125455324573,0.5140888855723219,0.0492839081713468
Hamed Junior Traorè,Bournemouth,23.0,MF,MID,47.0,13000000.0,0.0,0.34,0.07,0.02657064958920475,0.3678962080568773,0.030833489478391148
Hannes Delcroix,Burnley,24.0,DF,DEF,589.0,4000000.0,0.0,0.05,0.03,0.005460840095571873,0.2457267465971374,0.006828272699714994
Hannibal Mejbri,Manchester United,20.0,"MF,FW",ATT,133.0,13000000.0,0.6666666666666666,0.02,0.25,0.1409455972472645,1.9515274022750155,0.1635580859684641
Han-Noah Massengo,Burnley,22.0,"MF,DF",MID,16.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Reed,Fulham,28.0,MF,MID,1325.0,15000000.0,0.0,0.02,0.07,0.006756408109271075,0.08107592440016011,0.007772466056324468
Harry Maguire,Manchester United,30.0,DF,DEF,1653.0,18000000.0,0.10869565217391305,0.11,0.07,0.03189438090898068,0.31894061968361,0.03629036748493403
Harry Toffolo,Nottingham Forest,27.0,DF,DEF,1459.0,5000000.0,0.0617283950617284,0.1,0.1,0.0251859444502534,0.906661360400148,0.031037096114302665
Harry Wilson,Fulham,26.0,FW,ATT,1620.0,17000000.0,0.2222222222222222,0.19,0.19,0.06674218333681478,0.7066744587778871,0.07620194626883814
Harvey Barnes,Newcastle United,25.0,"FW,MF",ATT,802.0,35000000.0,0.5617977528089887,0.4,0.36,0.15426977568707245,0.7933833375620651,0.16881311712159275
Harvey Elliott,Liverpool,20.0,"MF,FW",ATT,1352.0,35000000.0,0.2,0.18,0.23,0.06527614144460984,0.33570414380811103,0.07142986279624175
Hjalmar Ekdal,Burnley,24.0,DF,DEF,437.0,7000000.0,0.0,0.01,0.01,0.0014074833343586729,0.03619149795927549,0.0016974401665927645
Hugo Bueno,Wolverhampton,20.0,"DF,MF",MID,741.0,6000000.0,0.0,0.03,0.09,0.008952179731740494,0.26855733523215786,0.010903060391955734
Hwang Hee-chan,Wolverhampton,27.0,"FW,MF",ATT,2119.0,13000000.0,0.5106382978723404,0.33,0.13,0.12259607785187661,1.6974606515708084,0.14226467681368402
Ian Maatsen,Chelsea,21.0,"FW,MF",ATT,209.0,40000000.0,0.0,0.35,0.04,0.024824979771120435,0.11171190626646377,0.026958054844338625
Ibrahim Sangaré,Nottingham Forest,25.0,MF,MID,1035.0,30000000.0,0.0,0.06,0.03,0.0060800351418198,0.03647999197096698,0.006712782865320738
Ibrahima Konaté,Liverpool,24.0,DF,DEF,1574.0,45000000.0,0.0,0.04,0.02,0.0040533567612132,0.016213362191404037,0.004372219958542336
Idrissa Gana Gueye,Everton,33.0,MF,MID,1884.0,13000000.0,0.19138755980861244,0.06,0.05,0.04210637246981163,0.583003238767932,0.048861673033715726
Igor,Brighton,25.0,DF,DEF,1637.0,13000000.0,0.0,0.02,0.04,0.004391543244938838,0.06080514147411735,0.005096096803434381
Illia Zabarnyi,Bournemouth,20.0,DF,DEF,3330.0,13000000.0,0.02702702702702703,0.03,0.01,0.007510738289773447,0.10399339794981459,0.00871571729005705
Ionuț Radu,Bournemouth,26.0,GK,GK,180.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Issa Diop,Fulham,26.0,DF,DEF,1424.0,20000000.0,0.0,0.02,0.0,0.0012383900924958545,0.011145410523767977,0.0014002457325821914
Issa Kaboré,Luton Town,22.0,DF,DEF,1729.0,10000000.0,0.0,0.01,0.11,0.009290366215466129,0.16722358185391695,0.010956344840555415
Ivan Perišić,Tottenham Hotspur,34.0,FW,ATT,103.0,2000000.0,0.0,0.1,0.75,0.06531357207078521,5.877692494046205,0.08557023396112784
Ivan Toney,Brentford,27.0,FW,ATT,1450.0,50000000.0,0.24844720496894407,0.37,0.09,0.07472530818069176,0.2690101410139827,0.08012462962943796
Ivo Grbić,Sheffield United,27.0,GK,GK,771.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Cork,Burnley,34.0,MF,MID,27.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Grealish,Manchester City,27.0,"FW,MF",ATT,1009.0,60000000.0,0.26785714285714285,0.19,0.22,0.07732133391214702,0.23196330584652355,0.08206423139880682
Jack Harrison,Everton,26.0,"MF,FW",ATT,2214.0,18000000.0,0.12195121951219512,0.14,0.14,0.041655986184436056,0.41655569628739764,0.047397409935455374
Jack Hinshelwood,Brighton,18.0,DF,DEF,869.0,16000000.0,0.30927835051546393,0.19,0.07,0.0729528269660013,0.8207100703792228,0.0835972715463144
Jack Robinson,Sheffield United,29.0,DF,DEF,2885.0,1000000.0,0.03115264797507788,0.04,0.04,0.01123740997070572,2.022369768168759,0.015461291206635284
Jacob Brown,Luton Town,25.0,"MF,FW",ATT,1019.0,4000000.0,0.17699115044247787,0.25,0.06,0.052068012951765316,2.342955149847696,0.06510620804576285
Jacob Bruun Larsen,Burnley,24.0,"MF,FW",ATT,1249.0,8000000.0,0.4316546762589928,0.36,0.1,0.1078717462415724,2.427059681592543,0.12900159071724965
Jacob Murphy,Newcastle United,28.0,"FW,DF",ATT,1189.0,15000000.0,0.2272727272727273,0.16,0.37,0.0799828782927917,0.9597830221172351,0.09201105033380286
Jacob Ramsey,Aston Villa,22.0,"FW,MF",ATT,853.0,35000000.0,0.10526315789473684,0.23,0.11,0.04186002564639421,0.21527902474647154,0.045806259720579764
Jaden Philogene Bidace,Aston Villa,21.0,FW,ATT,4.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jadon Sancho,Manchester United,23.0,"FW,MF",ATT,79.0,30000000.0,0.0,0.0,0.06,0.0047297297286644745,0.028378208102738233,0.005221951508437184
Jaidon Anthony,Bournemouth,23.0,FW,ATT,152.0,6000000.0,0.0,0.04,0.0,0.002476780184991709,0.07430117651445584,0.003016526113614305
Jaïro Riedewald,Crystal Palace,26.0,"MF,FW",ATT,235.0,3000000.0,0.0,0.01,0.0,0.0006191950462479273,0.037149473806447245,0.0007891804108931874
Jakub Kiwior,Arsenal,23.0,DF,DEF,946.0,30000000.0,0.09523809523809523,0.08,0.09,0.029191012098980132,0.17514502172375046,0.03222891336459513
Jakub Moder,Brighton,24.0,"MF,DF",MID,618.0,10000000.0,0.0,0.08,0.11,0.01362473153920162,0.24524075337206847,0.01606796262293462
Jamaal Lascelles,Newcastle United,29.0,DF,DEF,1080.0,7000000.0,0.08333333333333333,0.06,0.01,0.01950345855959831,0.501504609985414,0.0235213825545043
James Garner,Everton,22.0,MF,MID,3004.0,22000000.0,0.029940119760479042,0.08,0.14,0.0213788179582644,0.1749161703444059,0.024036721517016385
James Hill,Bournemouth,21.0,DF,DEF,76.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Maddison,Tottenham Hotspur,26.0,MF,MID,2135.0,70000000.0,0.16877637130801687,0.27,0.25,0.06680522027475382,0.1717844104037402,0.07029800198079279
James Mcatee,Manchester City,20.0,MF,MID,1.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mcatee,Manchester City,20.0,MF,MID,1.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mcatee,Sheffield United,20.0,"MF,FW",ATT,1822.0,12000000.0,0.1485148514851485,0.15,0.15,0.047844923272013756,0.7176630841339443,0.05579351670689977
James Mcatee,Sheffield United,20.0,"MF,FW",ATT,1822.0,12000000.0,0.1485148514851485,0.15,0.15,0.047844923272013756,0.7176630841339443,0.05579351670689977
James McConnell,Liverpool,18.0,MF,MID,4.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Milner,Brighton,37.0,"DF,MF",MID,773.0,1000000.0,0.0,0.03,0.21,0.01841163918906944,3.313498624280129,0.025332146449741348
James Shea,Luton Town,32.0,GK,GK,15.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,Everton,30.0,DF,DEF,3419.0,13000000.0,0.02631578947368421,0.07,0.06,0.013800937155768387,0.19108725325636336,0.016015078937219842
James Tomkins,Crystal Palace,34.0,DF,DEF,10.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Trafford,Burnley,20.0,GK,GK,2520.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,West Ham United,28.0,MF,MID,3001.0,30000000.0,0.21021021021021022,0.18,0.23,0.06711397928171255,0.4026814596015177,0.07409851417584513
Jamie Donley,Tottenham Hotspur,18.0,FW,ATT,3.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Paul van Hecke,Brighton,23.0,DF,DEF,2369.0,18000000.0,0.0,0.05,0.03,0.005460840095571873,0.05460785487716996,0.006213504955945516
Jarell Quansah,Liverpool,20.0,DF,DEF,1190.0,22000000.0,0.15151515151515152,0.08,0.01,0.03301457591991235,0.2701170474779853,0.03711908529922073
Jarrad Branthwaite,Everton,21.0,DF,DEF,3116.0,42000000.0,0.08670520231213873,0.05,0.03,0.02106777650551407,0.09029008378041553,0.022814424793044102
Jarrod Bowen,West Ham United,26.0,FW,ATT,3019.0,50000000.0,0.47761194029850745,0.35,0.16,0.12025458844779266,0.4329149599181979,0.12894365503747166
Jason Steele,Brighton,32.0,GK,GK,1530.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Rodriguez,Burnley,34.0,FW,ATT,822.0,1000000.0,0.21978021978021978,0.38,0.02,0.06466642787825812,11.63786220288994,0.08897303518560132
Jayden Bogle,Sheffield United,23.0,DF,DEF,2788.0,3800000.0,0.0967741935483871,0.07,0.03,0.024118585019809666,1.1424051764826244,0.03026014999686571
Jayden Danns,Liverpool,17.0,FW,ATT,9.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Mateta,Crystal Palace,26.0,FW,ATT,2282.0,20000000.0,0.6299212598425197,0.43,0.12,0.14947067317228901,1.3452239515350375,0.16900625539878963
Jean-Ricner Bellegarde,Wolverhampton,25.0,"MF,FW",ATT,958.0,15000000.0,0.18867924528301888,0.15,0.09,0.05034478442407411,0.604130163526927,0.057915851399228925
Jefferson Lerma,Crystal Palace,28.0,"MF,DF",MID,2400.0,20000000.0,0.03745318352059925,0.1,0.08,0.019239829798376473,0.1731569097732003,0.021754445335143473
Jeffrey Schlupp,Crystal Palace,30.0,"FW,MF",ATT,1352.0,7000000.0,0.13333333333333333,0.12,0.15,0.043254664867036316,1.1122342105583767,0.05216559496334749
Jeremy Doku,Manchester City,21.0,"FW,MF",ATT,1595.0,65000000.0,0.16949152542372883,0.14,0.26,0.059672700702418174,0.16524702126109916,0.06305124121702049
Jesurun Rak Sakyi,Crystal Palace,20.0,"MF,FW",ATT,136.0,13000000.0,0.0,0.28,0.1,0.025220344176049424,0.3491999304385706,0.029266548948414232
Jhon Durán,Aston Villa,19.0,"FW,MF",ATT,475.0,20000000.0,0.9433962264150944,0.38,0.06,0.19807046217287816,1.7826181159928596,0.22395796049142197
Jimi Tauriainen,Chelsea,19.0,FW,ATT,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,Crystal Palace,27.0,DF,DEF,3415.0,35000000.0,0.052770448548812667,0.04,0.07,0.017493478936753737,0.08996600042101704,0.01914262658036516
João Gomes,Wolverhampton,22.0,MF,MID,2649.0,35000000.0,0.06802721088435375,0.06,0.04,0.019113221384216263,0.09829606159622399,0.020915065609802476
João Palhinha,Fulham,28.0,MF,MID,2699.0,55000000.0,0.13333333333333333,0.11,0.03,0.033176010363459435,0.10857567857819189,0.03538293034686111
João Pedro,Brighton,21.0,"FW,MF",ATT,2045.0,45000000.0,0.39647577092511016,0.53,0.17,0.11758387708699641,0.47033362701347764,0.12683378357464883
Joe Gomez,Liverpool,26.0,DF,DEF,1786.0,28000000.0,0.0,0.04,0.07,0.00799479820176693,0.05139480090192447,0.00886232898852048
Joe Rothwell,Bournemouth,28.0,MF,MID,386.0,2500000.0,0.0,0.02,0.06,0.005968119821160329,0.42967369061781924,0.00770066466834175
Joe White,Newcastle United,20.0,MF,MID,13.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Willock,Newcastle United,23.0,MF,MID,419.0,30000000.0,0.2127659574468085,0.17,0.12,0.0582836475686501,0.34969978721317735,0.06434921206888361
Joe Worrall,Nottingham Forest,26.0,DF,DEF,439.0,7500000.0,0.0,0.02,0.04,0.004391543244938838,0.10539450841033027,0.005273166447793957
Joël Matip,Liverpool,31.0,DF,DEF,781.0,0.0,0.0,0.06,0.01,0.004503458565598309,4503.458565598309,4503.458565598309
Joël Veltman,Brighton,31.0,DF,DEF,1588.0,10000000.0,0.056818181818181816,0.02,0.03,0.01383052768000991,0.24894501722986825,0.016310662795700412
Joel Ward,Crystal Palace,33.0,DF,DEF,1980.0,1000000.0,0.0,0.04,0.01,0.0032650684731024547,0.5876065559783656,0.004492331827693454
Joelinton,Newcastle United,26.0,"MF,FW",ATT,1279.0,40000000.0,0.14084507042253522,0.22,0.2,0.05474016944558481,0.24632965402168855,0.05944369355817856
Jóhann Berg Guðmundsson,Burnley,32.0,"MF,FW",ATT,1192.0,13000000.0,0.07575757575757576,0.14,0.2,0.03807086004059499,0.5271276864864255,0.04417872655141664
John Egan,Sheffield United,30.0,DF,DEF,482.0,4000000.0,0.0,0.03,0.0,0.0018575851387437816,0.08358756980282904,0.0023227374668168418
John Fleck,Sheffield United,31.0,"MF,DF",MID,92.0,900000.0,0.0,0.0,0.44,0.03468468467687281,6.935549825409479,0.048088586115950335
John McGinn,Aston Villa,28.0,"MF,FW",ATT,2999.0,30000000.0,0.1801801801801802,0.15,0.14,0.05275639414672881,0.3165364656615789,0.05824673877761026
John Stones,Manchester City,29.0,"DF,MF",MID,1064.0,38000000.0,0.0847457627118644,0.09,0.02,0.02240356927448673,0.10612166756598551,0.02440008549663117
Jonny Castro,Wolverhampton,29.0,MF,MID,5.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Evans,Manchester United,35.0,DF,DEF,1392.0,2000000.0,0.0,0.0,0.08,0.006306306304885966,0.5675164909555509,0.008262174136713698
Jordan Ayew,Crystal Palace,31.0,"FW,MF",ATT,2543.0,4000000.0,0.1413427561837456,0.14,0.15,0.0459347510720297,2.0669707845560312,0.05743713443791979
Jordan Beyer,Burnley,23.0,DF,DEF,1234.0,13000000.0,0.0,0.04,0.02,0.0040533567612132,0.05612262422661656,0.00470365365473827
Jordan Clark,Luton Town,29.0,MF,MID,1304.0,1000000.0,0.06896551724137931,0.07,0.09,0.023842753015214962,4.290923176566911,0.03280468973696873
Jordan Pickford,Everton,29.0,GK,GK,3420.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,Arsenal,31.0,MF,MID,921.0,12000000.0,0.0,0.01,0.13,0.010866942791687623,0.1630016968498616,0.012672294419909694
José Sá,Wolverhampton,30.0,GK,GK,3037.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Johnson,Luton Town,17.0,DF,DEF,77.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,Burnley,27.0,MF,MID,2252.0,15000000.0,0.16,0.08,0.08,0.04005986666334938,0.4807126314086157,0.04608424311055408
Josh Cullen,Burnley,27.0,MF,MID,2057.0,10000000.0,0.08733624454148473,0.03,0.08,0.023884415454808787,0.4299117397752422,0.028167446359900743
Josh Dasilva,Brentford,24.0,"DF,FW",ATT,24.0,10000000.0,0.0,0.0,0.72,0.056756756743973694,1.0216032325333408,0.06693456258842373
Joshua Acheampong,Chelsea,17.0,DF,DEF,6.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Joško Gvardiol,Manchester City,21.0,DF,DEF,2328.0,75000000.0,0.15444015444015444,0.12,0.06,0.03995929807174771,0.09590208520719001,0.04188850571849773
Julián Álvarez,Manchester City,23.0,"MF,FW",ATT,2647.0,90000000.0,0.3741496598639456,0.44,0.22,0.11193386312191664,0.22386727850927624,0.11616990332739839
Julio Enciso,Brighton,19.0,"MF,FW",ATT,475.0,22000000.0,0.0,0.27,0.32,0.0419434914682379,0.34317121333929185,0.04715808076206822
Jurriën Timber,Arsenal,22.0,DF,DEF,71.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Kluivert,Bournemouth,24.0,"MF,FW",ATT,1916.0,14000000.0,0.32863849765258213,0.29,0.09,0.08420618048798942,1.0826369723702192,0.09727563755601541
Kaelan Casey,West Ham United,18.0,DF,DEF,1.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Kai Havertz,Arsenal,24.0,"MF,FW",ATT,2634.0,70000000.0,0.44368600682593856,0.42,0.15,0.11769399746079769,0.3026409295368038,0.12384740043665797
Kaide Gordon,Liverpool,18.0,FW,ATT,1.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaine Kesler-Hayden,Aston Villa,20.0,"MF,DF",MID,6.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalvin Phillips,Manchester City,27.0,MF,MID,93.0,25000000.0,0.0,0.07,0.0,0.004334365323735491,0.031207205639014936,0.004836660859986479
Kalvin Phillips,Manchester City,27.0,MF,MID,93.0,25000000.0,0.0,0.07,0.0,0.004334365323735491,0.031207205639014936,0.004836660859986479
Kalvin Phillips,West Ham United,27.0,MF,MID,309.0,25000000.0,0.0,0.02,0.0,0.0012383900924958545,0.008916344468289981,0.0013819031028532796
Kalvin Phillips,West Ham United,27.0,MF,MID,309.0,25000000.0,0.0,0.02,0.0,0.0012383900924958545,0.008916344468289981,0.0013819031028532796
Kaoru Mitoma,Brighton,26.0,FW,ATT,1486.0,45000000.0,0.18181818181818182,0.21,0.16,0.058342981295160225,0.23337099169667413,0.06293261666491254
Keane Lewis-Potter,Brentford,22.0,"FW,DF",ATT,1441.0,15000000.0,0.1875,0.39,0.11,0.06656977795938736,0.7988277495796534,0.07658082981346381
Kenny Tete,Fulham,27.0,DF,DEF,867.0,15000000.0,0.10416666666666667,0.09,0.04,0.027475908561174333,0.329706946250737,0.03160785482531222
Kevin De Bruyne,Manchester City,32.0,MF,MID,1221.0,50000000.0,0.29411764705882354,0.18,0.85,0.13109119177128786,0.47192659144090715,0.1405632635593478
Kevin Schade,Brentford,21.0,"FW,MF",ATT,333.0,22000000.0,0.5405405405405405,0.32,0.19,0.1320890162124162,1.0807194722149962,0.1485108720394505
Kieffer Moore,Bournemouth,30.0,"FW,MF",ATT,108.0,2000000.0,0.8333333333333334,1.23,0.2,0.24192675639070998,21.771448644785867,0.31695907128420137
Kieran Trippier,Newcastle United,32.0,DF,DEF,2236.0,10000000.0,0.04032258064516129,0.03,0.3,0.032764298295291955,0.5897467538736855,0.0386396986142951
Kobbie Mainoo,Manchester United,18.0,MF,MID,1924.0,50000000.0,0.14018691588785048,0.04,0.03,0.03007528989904358,0.108270653862203,0.03224839780294815
Konstantinos Mavropanos,West Ham United,25.0,DF,DEF,1500.0,20000000.0,0.059880239520958084,0.07,0.01,0.015901096721307316,0.1431085825145232,0.01797934508868156
Kostas Tsimikas,Liverpool,27.0,DF,DEF,679.0,13000000.0,0.0,0.01,0.14,0.011655231079798368,0.16137788818029491,0.013525128305978172
Kristoffer Ajer,Brentford,25.0,DF,DEF,1832.0,15000000.0,0.09803921568627452,0.06,0.11,0.030033400263176357,0.3603964784003755,0.034549953218667974
Kurt Zouma,West Ham United,28.0,DF,DEF,2838.0,25000000.0,0.09523809523809523,0.06,0.01,0.02164631570159831,0.15585235091458124,0.024154837005432927
Kyle Walker,Manchester City,33.0,DF,DEF,2767.0,13000000.0,0.0,0.01,0.09,0.0077137896392446385,0.10680483924561314,0.008951345012536097
Leander Dendoncker,Aston Villa,28.0,MF,MID,119.0,7000000.0,0.7692307692307692,0.56,0.0,0.17313646099603774,4.451965946488061,0.20880444977368626
Leandro Trossard,Arsenal,28.0,"FW,MF",ATT,1649.0,35000000.0,0.6557377049180327,0.43,0.15,0.15648249814835485,0.8047629945532815,0.17123443765797405
Leon Bailey,Aston Villa,25.0,"MF,FW",ATT,2068.0,42000000.0,0.43478260869565216,0.27,0.4,0.12651066730703692,0.542186250517656,0.13699917995801758
Leon Chiwome,Wolverhampton,17.0,FW,ATT,174.0,1000000.0,0.0,0.05,0.0,0.0030959752312396363,0.5571752500781204,0.004259680366161802
Lesley Ugochukwu,Chelsea,19.0,MF,MID,301.0,25000000.0,0.0,0.0,0.03,0.0023648648643322372,0.017026904429480214,0.002638921381600409
Levi Colwill,Chelsea,20.0,DF,DEF,1797.0,50000000.0,0.05,0.06,0.06,0.017444900002552038,0.06280141392409722,0.01870539159567135
Lewis Cook,Bournemouth,26.0,MF,MID,2786.0,12000000.0,0.0,0.01,0.14,0.011655231079798368,0.17482584380931837,0.013591542957994123
Lewis Dobbin,Everton,20.0,MF,MID,232.0,2500000.0,0.3846153846153846,0.11,0.19,0.0910193921859083,6.552924426826666,0.11744231659941663
