player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Andrey Santos,Nottingham Forest,19.0,MF,MID,8.0,15000000.0,0.0,0.64,0.0,0.039628482959867345,0.4755360890853391,0.04558798605527572
Andros Townsend,Luton Town,32.0,"MF,FW",ATT,1210.0,1800000.0,0.07462686567164178,0.09,0.1,0.026888474112861188,2.688578553430776,0.035485485155034635
Anel Ahmedhodžić,Sheffield United,24.0,DF,DEF,2649.0,18000000.0,0.06802721088435375,0.11,0.03,0.021420908327345153,0.2142069412040395,0.02437334141330048
Angelo Ogbonna,West Ham United,35.0,DF,DEF,635.0,700000.0,0.0,0.01,0.0,0.0006191950462479273,0.15918065115345612,0.0008745133179024609
Anis Ben Slimane,Sheffield United,22.0,MF,MID,419.0,13000000.0,0.0,0.17,0.06,0.01525604551487924,0.21123462849577954,0.017703636385916613
Ansu Fati,Brighton,20.0,"MF,FW",ATT,521.0,25000000.0,0.3448275862068966,0.59,0.14,0.10963750925459195,0.789384383065504,0.12234304452700792
Anthony Elanga,Nottingham Forest,21.0,"FW,MF",ATT,2433.0,22000000.0,0.18518518518518517,0.24,0.25,0.06790122163271889,0.5555509043057557,0.07634298389354793
Anthony Gordon,Newcastle United,22.0,FW,ATT,2890.0,60000000.0,0.3426791277258567,0.32,0.25,0.10120369164868362,0.3036101641155586,0.10741153507914762
Anthony Martial,Manchester United,27.0,FW,ATT,448.0,10000000.0,0.2,0.25,0.05,0.055421317582351914,0.9975657602986491,0.06535964814167645
Antoine Semenyo,Bournemouth,23.0,FW,ATT,2105.0,10000000.0,0.3418803418803419,0.2,0.14,0.08495839847235513,1.529223646476756,0.10019341425043449
Antonee Robinson,Fulham,25.0,DF,DEF,3265.0,25000000.0,0.0,0.02,0.11,0.009909561261714057,0.0713483273763841,0.011057948168721446
Antony,Manchester United,23.0,FW,ATT,1324.0,25000000.0,0.06802721088435375,0.23,0.19,0.04146386149209221,0.29853765327196036,0.04626897388747694
Antwoine Hackford,Sheffield United,19.0,FW,ATT,13.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Arijanet Muric,Burnley,24.0,GK,GK,900.0,7000000.0,0.0,0.0,0.02,0.0,0.0,0.0
Armando Broja,Chelsea,21.0,FW,ATT,454.0,22000000.0,0.2,0.47,0.03,0.06746703202358481,0.5519984729327335,0.07585481402649953
Armando Broja,Chelsea,21.0,FW,ATT,454.0,22000000.0,0.2,0.47,0.03,0.06746703202358481,0.5519984729327335,0.07585481402649953
Armando Broja,Fulham,21.0,FW,ATT,88.0,22000000.0,0.0,0.0,0.41,0.032319819812540576,0.2644327258348479,0.03633795422323034
Armando Broja,Fulham,21.0,FW,ATT,88.0,22000000.0,0.0,0.0,0.41,0.032319819812540576,0.2644327258348479,0.03633795422323034
Arnaut Danjuma,Everton,26.0,"MF,FW",ATT,595.0,13000000.0,0.15151515151515152,0.4,0.17,0.06544143000961795,0.9060995618315464,0.07594047096508405
Ashley Young,Everton,38.0,"DF,MF",MID,2280.0,500000.0,0.0,0.02,0.06,0.005968119821160329,2.147749945637289,0.00864513702814154
Auston Trusty,Sheffield United,24.0,DF,DEF,2572.0,7000000.0,0.0,0.01,0.04,0.00377234819869091,0.09700074509003537,0.0045494928419522115
Axel Disasi,Chelsea,25.0,DF,DEF,2579.0,40000000.0,0.06968641114982578,0.08,0.01,0.018285402660045382,0.08228394169246661,0.01985656755030946
Aymeric Laporte,Manchester City,29.0,DF,DEF,12.0,20000000.0,0.0,0.27,0.0,0.016718266248694037,0.1504630420708677,0.018903317389859585
Bart Verbruggen,Brighton,20.0,GK,GK,1890.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Brereton,Sheffield United,24.0,"FW,MF",ATT,1105.0,13000000.0,0.4878048780487805,0.49,0.12,0.12760489473713593,1.7668125404943986,0.14807707903638231
Ben Chilwell,Chelsea,26.0,DF,DEF,756.0,28000000.0,0.0,0.14,0.26,0.029164226138350374,0.187483105640859,0.03232889188829635
Ben Davies,Tottenham Hotspur,30.0,DF,DEF,1090.0,10000000.0,0.08264462809917356,0.19,0.03,0.029005603794943685,0.5220914706625144,0.03420698281590624
Ben Doak,Liverpool,17.0,FW,ATT,14.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Godfrey,Everton,25.0,DF,DEF,1120.0,10000000.0,0.0,0.14,0.02,0.010245307223692475,0.18441221060667362,0.012082528969992401
Ben Johnson,West Ham United,23.0,"DF,FW",ATT,544.0,8000000.0,0.0,0.03,0.0,0.0018575851387437816,0.04179472524041717,0.0022214476555708134
Ben Mee,Brentford,33.0,DF,DEF,1272.0,1000000.0,0.14184397163120568,0.1,0.02,0.03330044192210502,5.993000805833852,0.04581730409493791
Ben Osborn,Sheffield United,28.0,"DF,MF",MID,1367.0,1000000.0,0.0,0.01,0.06,0.005348924774912401,0.9626331855108402,0.007359461281816437
Ben Parkinson,Newcastle United,18.0,FW,ATT,25.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben White,Arsenal,25.0,DF,DEF,2988.0,55000000.0,0.12048192771084336,0.03,0.11,0.032215503287239086,0.10543221116190957,0.03435852884097648
Benicio Boaitey,Brighton,19.0,"FW,DF",ATT,40.0,13000000.0,0.0,0.05,0.13,0.013343722976679332,0.18475668304610243,0.015484511984651199
Bénie Adama Traore,Sheffield United,20.0,"FW,MF",ATT,387.0,13000000.0,0.0,0.06,0.13,0.013962918022927259,0.1933300342092884,0.016203047068991557
Benoît Badiashile,Chelsea,22.0,DF,DEF,1338.0,30000000.0,0.0,0.02,0.1,0.009121272973603312,0.05472730947776301,0.010070521551096022
Benson Manuel,Burnley,26.0,"MF,FW",ATT,116.0,5000000.0,0.0,0.05,0.03,0.005460840095571873,0.19658316644659535,0.006729492286694722
Bernardo Silva,Manchester City,28.0,"MF,FW",ATT,2578.0,70000000.0,0.2097902097902098,0.13,0.27,0.06709555712734605,0.1725309889620611,0.0706035185340604
Bernd Leno,Fulham,31.0,GK,GK,3420.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertrand Traoré,Aston Villa,27.0,"DF,FW",ATT,11.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Beto,Everton,25.0,FW,ATT,951.0,20000000.0,0.2830188679245283,0.64,0.09,0.0976664737589018,0.87899035291694,0.11043132848522091
Billy Gilmour,Brighton,22.0,MF,MID,2120.0,18000000.0,0.0,0.04,0.09,0.00957137477798842,0.09571279065197769,0.010890592578689108
Bobby Clark,Liverpool,18.0,MF,MID,89.0,1000000.0,0.0,0.14,0.0,0.008668730647470983,1.5600907002187374,0.011927105025253048
Bobby Reid,Fulham,30.0,FW,ATT,1423.0,13000000.0,0.37974683544303794,0.28,0.11,0.09436306281656523,1.3065473944962103,0.10950212168261891
