player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
James Mcatee,Sheffield United,20.000000,1822.000000,12000000.000000,MID,0.148515,0.150000,0.150000,0.047845,0.717663,0.055794
Jamie Donley,Tottenham Hotspur,18.000000,3.000000,1500000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Jarrod Bowen,West Ham United,26.000000,3019.000000,50000000.000000,MID,0.477612,0.350000,0.160000,0.120255,0.432915,0.128944
Jay Rodriguez,Burnley,34.000000,822.000000,1000000.000000,LOW,0.219780,0.380000,0.020000,0.064666,11.637862,0.088973
Jayden Danns,Liverpool,17.000000,9.000000,1000000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Jean-Philippe Mateta,Crystal Palace,26.000000,2282.000000,20000000.000000,MID,0.629921,0.430000,0.120000,0.149471,1.345224,0.169006
Jean-Ricner Bellegarde,Wolverhampton,25.000000,958.000000,15000000.000000,MID,0.188679,0.150000,0.090000,0.050345,0.604130,0.057916
Jeffrey Schlupp,Crystal Palace,30.000000,1352.000000,7000000.000000,LOW,0.133333,0.120000,0.150000,0.043255,1.112234,0.052166
Jeremy Doku,Manchester City,21.000000,1595.000000,65000000.000000,ELITE,0.169492,0.140000,0.260000,0.059673,0.165247,0.063051
Jesurun Rak Sakyi,Crystal Palace,20.000000,136.000000,13000000.000000,MID,0.000000,0.280000,0.100000,0.025220,0.349200,0.029267
Jhon Durán,Aston Villa,19.000000,475.000000,20000000.000000,MID,0.943396,0.380000,0.060000,0.198070,1.782618,0.223958
Jimi Tauriainen,Chelsea,19.000000,1.000000,200000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
João Pedro,Brighton,21.000000,2045.000000,45000000.000000,MID,0.396476,0.530000,0.170000,0.117584,0.470334,0.126834
Joelinton,Newcastle United,26.000000,1279.000000,40000000.000000,MID,0.140845,0.220000,0.200000,0.054740,0.246330,0.059444
Jóhann Berg Guðmundsson,Burnley,32.000000,1192.000000,13000000.000000,MID,0.075758,0.140000,0.200000,0.038071,0.527128,0.044179
John McGinn,Aston Villa,28.000000,2999.000000,30000000.000000,MID,0.180180,0.150000,0.140000,0.052756,0.316536,0.058247
Jordan Ayew,Crystal Palace,31.000000,2543.000000,4000000.000000,LOW,0.141343,0.140000,0.150000,0.045935,2.066971,0.057437
Josh Dasilva,Brentford,24.000000,24.000000,10000000.000000,LOW,0.000000,0.000000,0.720000,0.056757,1.021603,0.066935
Julián Álvarez,Manchester City,23.000000,2647.000000,90000000.000000,ELITE,0.374150,0.440000,0.220000,0.111934,0.223867,0.116170
Julio Enciso,Brighton,19.000000,475.000000,22000000.000000,MID,0.000000,0.270000,0.320000,0.041943,0.343171,0.047158
Justin Kluivert,Bournemouth,24.000000,1916.000000,14000000.000000,MID,0.328638,0.290000,0.090000,0.084206,1.082637,0.097276
Kai Havertz,Arsenal,24.000000,2634.000000,70000000.000000,ELITE,0.443686,0.420000,0.150000,0.117694,0.302641,0.123847
Kaide Gordon,Liverpool,18.000000,1.000000,1200000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Kaoru Mitoma,Brighton,26.000000,1486.000000,45000000.000000,MID,0.181818,0.210000,0.160000,0.058343,0.233371,0.062933
Keane Lewis-Potter,Brentford,22.000000,1441.000000,15000000.000000,MID,0.187500,0.390000,0.110000,0.066570,0.798828,0.076581
Kevin Schade,Brentford,21.000000,333.000000,22000000.000000,MID,0.540541,0.320000,0.190000,0.132089,1.080719,0.148511
Kieffer Moore,Bournemouth,30.000000,108.000000,2000000.000000,LOW,0.833333,1.230000,0.200000,0.241927,21.771449,0.316959
Leandro Trossard,Arsenal,28.000000,1649.000000,35000000.000000,MID,0.655738,0.430000,0.150000,0.156482,0.804763,0.171234
Leon Bailey,Aston Villa,25.000000,2068.000000,42000000.000000,MID,0.434783,0.270000,0.400000,0.126511,0.542186,0.136999
Leon Chiwome,Wolverhampton,17.000000,174.000000,1000000.000000,LOW,0.000000,0.050000,0.000000,0.003096,0.557175,0.004260
Lewis Warrington,Everton,20.000000,1.000000,500000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Luca Koleosho,Burnley,18.000000,974.000000,7000000.000000,LOW,0.092593,0.180000,0.120000,0.037272,0.958389,0.044950
Lucas Paquetá,West Ham United,25.000000,2622.000000,65000000.000000,ELITE,0.137457,0.180000,0.180000,0.050077,0.138674,0.052912
Luis Díaz,Liverpool,26.000000,2629.000000,75000000.000000,ELITE,0.273973,0.410000,0.190000,0.089680,0.215230,0.094009
Luis Sinisterra,Bournemouth,24.000000,699.000000,17000000.000000,MID,0.256410,0.330000,0.310000,0.091024,0.963776,0.103926
Lyle Foster,Burnley,22.000000,1899.000000,13000000.000000,MID,0.236967,0.210000,0.090000,0.062752,0.868858,0.072819
Manor Solomon,Tottenham Hotspur,24.000000,199.000000,13000000.000000,MID,0.000000,0.190000,0.380000,0.041720,0.577649,0.048413
Marcus Rashford,Manchester United,25.000000,2271.000000,60000000.000000,MID,0.277778,0.290000,0.090000,0.075051,0.225153,0.079655
Marcus Tavernier,Bournemouth,24.000000,2118.000000,20000000.000000,MID,0.127660,0.170000,0.220000,0.050847,0.457622,0.057493
Mark O'Mahony,Brighton,18.000000,63.000000,13000000.000000,MID,0.000000,0.080000,0.000000,0.004954,0.068587,0.005748
Mason Burstow,Chelsea,19.000000,9.000000,1800000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Mason Mount,Manchester United,24.000000,516.000000,35000000.000000,MID,0.175439,0.070000,0.060000,0.040643,0.209020,0.044475
Matheus Cunha,Wolverhampton,24.000000,2440.000000,45000000.000000,MID,0.442804,0.350000,0.120000,0.110836,0.443343,0.119555
Matheus França,Crystal Palace,19.000000,232.000000,15000000.000000,MID,0.000000,0.140000,0.340000,0.035471,0.425641,0.040805
Matt Ritchie,Newcastle United,33.000000,128.000000,1000000.000000,LOW,0.714286,0.680000,0.000000,0.170677,30.716276,0.234830
Maxwel Cornet,West Ham United,26.000000,112.000000,9000000.000000,LOW,0.833333,0.320000,0.130000,0.180062,3.601168,0.213749
Michael Ndiweni,Newcastle United,19.000000,1.000000,0.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Michael Obafemi,Burnley,23.000000,20.000000,2200000.000000,LOW,0.000000,0.400000,0.000000,0.024768,2.026291,0.032238
Michael Olakigbe,Brentford,19.000000,59.000000,600000.000000,LOW,0.000000,0.180000,0.000000,0.011146,3.342650,0.015924
Michael Olise,Crystal Palace,21.000000,1275.000000,55000000.000000,MID,0.704225,0.390000,0.410000,0.183229,0.599657,0.195418
Michail Antonio,West Ham United,33.000000,1695.000000,4000000.000000,LOW,0.319149,0.310000,0.050000,0.080583,3.626085,0.100762
Miguel Almirón,Newcastle United,29.000000,1937.000000,20000000.000000,MID,0.139535,0.210000,0.120000,0.047579,0.428206,0.053797
Mike Trésor,Burnley,24.000000,420.000000,12000000.000000,MID,0.000000,0.100000,0.080000,0.012498,0.187471,0.014575
Mohamed Salah,Liverpool,31.000000,2534.000000,55000000.000000,MID,0.638298,0.750000,0.420000,0.194441,0.636351,0.207376
Mohammed Kudus,West Ham United,22.000000,2484.000000,50000000.000000,MID,0.289855,0.190000,0.130000,0.074186,0.267070,0.079547
Morgan Gibbs-White,Nottingham Forest,23.000000,3156.000000,40000000.000000,MID,0.142450,0.200000,0.240000,0.056944,0.256246,0.061837
Morgan Rogers,Aston Villa,21.000000,638.000000,15000000.000000,MID,0.422535,0.190000,0.090000,0.094916,1.138974,0.109189
Moussa Diaby,Aston Villa,24.000000,2174.000000,55000000.000000,MID,0.247934,0.290000,0.270000,0.083869,0.274478,0.089448
Mykhailo Mudryk,Chelsea,22.000000,1576.000000,13000000.000000,MID,0.285714,0.250000,0.230000,0.085039,1.177448,0.098682
Naouirou Ahamada,Crystal Palace,21.000000,349.000000,8000000.000000,LOW,0.000000,0.130000,0.010000,0.008838,0.198847,0.010569
Nathan Fraser,Wolverhampton,18.000000,186.000000,1000000.000000,LOW,0.000000,0.160000,0.040000,0.013060,2.350426,0.017969
Nathan Redmond,Burnley,29.000000,142.000000,5000000.000000,LOW,0.000000,0.000000,0.190000,0.014977,0.539170,0.018457
Neal Maupay,Brentford,26.000000,1321.000000,12000000.000000,MID,0.408163,0.390000,0.160000,0.110231,1.653434,0.128543
Neal Maupay,Brentford,26.000000,1321.000000,12000000.000000,MID,0.408163,0.390000,0.160000,0.110231,1.653434,0.128543
Neal Maupay,Everton,26.000000,111.000000,12000000.000000,MID,0.000000,1.160000,0.050000,0.075768,1.136504,0.088356
Neal Maupay,Everton,26.000000,111.000000,12000000.000000,MID,0.000000,1.160000,0.050000,0.075768,1.136504,0.088356
Nicolás Domínguez,Nottingham Forest,25.000000,1495.000000,17000000.000000,MID,0.120482,0.080000,0.060000,0.031370,0.332150,0.035816
Nicolas Jackson,Chelsea,22.000000,2799.000000,35000000.000000,MID,0.450161,0.600000,0.140000,0.129217,0.664539,0.141398
Nicolò Zaniolo,Aston Villa,24.000000,839.000000,20000000.000000,MID,0.215054,0.280000,0.110000,0.064718,0.582460,0.073177
Noni Madueke,Chelsea,21.000000,1053.000000,28000000.000000,MID,0.427350,0.210000,0.230000,0.108057,0.694646,0.119782
Odsonne Édouard,Crystal Palace,25.000000,1555.000000,18000000.000000,MID,0.404624,0.360000,0.070000,0.100641,1.006404,0.114513
Oliver McBurnie,Sheffield United,27.000000,1280.000000,13000000.000000,MID,0.422535,0.480000,0.140000,0.116814,1.617399,0.135555
Ollie Watkins,Aston Villa,27.000000,3217.000000,65000000.000000,ELITE,0.532213,0.470000,0.210000,0.141455,0.391719,0.149463
Omari Forson,Manchester United,19.000000,70.000000,2000000.000000,LOW,0.000000,0.040000,0.230000,0.020607,1.854500,0.026999
Omari Kellyman,Aston Villa,17.000000,37.000000,1000000.000000,LOW,0.000000,0.170000,0.000000,0.010526,1.894396,0.014483
Oscar Bobb,Manchester City,20.000000,302.000000,25000000.000000,MID,0.294118,0.410000,0.370000,0.107495,0.773957,0.119952
Pablo Fornals,West Ham United,27.000000,426.000000,14000000.000000,MID,0.000000,0.070000,0.070000,0.009852,0.126672,0.011382
Pablo Sarabia,Wolverhampton,31.000000,1745.000000,10000000.000000,LOW,0.206186,0.280000,0.300000,0.078100,1.405766,0.092105
Pedro Neto,Wolverhampton,23.000000,1516.000000,55000000.000000,MID,0.119048,0.210000,0.260000,0.054927,0.179761,0.058581
Phil Foden,Manchester City,23.000000,2857.000000,150000000.000000,ELITE,0.599369,0.330000,0.260000,0.148815,0.178578,0.150256
Philippe Coutinho,Aston Villa,31.000000,25.000000,7500000.000000,LOW,0.000000,0.520000,0.000000,0.032198,0.772737,0.038662
Raheem Sterling,Chelsea,28.000000,1978.000000,35000000.000000,MID,0.363636,0.290000,0.200000,0.099177,0.510050,0.108527
Rasmus Højlund,Manchester United,20.000000,2158.000000,65000000.000000,ELITE,0.416667,0.320000,0.070000,0.100332,0.277842,0.106013
Raúl Jiménez,Fulham,32.000000,1395.000000,5000000.000000,LOW,0.451613,0.330000,0.100000,0.109607,3.945697,0.135070
Reiss Nelson,Arsenal,23.000000,268.000000,15000000.000000,MID,0.000000,0.070000,0.200000,0.020100,0.241199,0.023123
Rhian Brewster,Sheffield United,23.000000,346.000000,3000000.000000,LOW,0.000000,0.090000,0.030000,0.007938,0.476229,0.010117
Richarlison,Tottenham Hotspur,26.000000,1491.000000,38000000.000000,MID,0.662651,0.580000,0.130000,0.165438,0.783651,0.180181
Rodrigo Muniz,Fulham,22.000000,1593.000000,20000000.000000,MID,0.508475,0.490000,0.120000,0.131325,1.181918,0.148489
Rodrigo Ribeiro,Nottingham Forest,18.000000,17.000000,3000000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Romain Faivre,Bournemouth,25.000000,41.000000,15000000.000000,MID,0.000000,0.340000,0.000000,0.021053,0.252629,0.024219
Ryan One,Sheffield United,17.000000,8.000000,200000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
