player,nation,pos,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,club,season,player_clean,club_clean,goals_per90,xa_per90,ga_per90,pos_group,goals_norm,xg_norm,xag_norm,output_index_v0,annual_wage,transfer_fee,amortized_fee,cost_index_raw,cost_index_v2,value_index_v2,transfer_fee_corrected,market_value,cost_mv_raw,cost_mv,value_index_mv,cost_mv_log_raw,cost_mv_log,value_index_mv_log,age
Álex Moreno,es ESP,DF,21,11,1031.0,11.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.1,2.3,32.0,24.0,83.0,0.17,0.0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,Aston Villa,2023/24,alex moreno,aston villa,0.17391304347826086,0.0,0.17391304347826086,DEF,0.06956521736347826,0.030959752312396362,0.02252252251744988,0.04537918115715195,4680000.0,0.0,1.0,4680000.0,0.2545870436719109,0.1782455314972779,5.0,13000000.0,13000000.0,0.07222222222222222,0.6283184239208497,16.380459992348886,0.861745433462424,0.052659552038785064,30.0
Alex Murphy,ie IRL,"DF,FW",2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,2023/24,alex murphy,newcastle united,0.0,0.0,0.0,ATT,0.0,0.0,0.0,0.0,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.0,5.0,250000.0,250000.0,0.001388888888888889,0.0,12.429220196836383,0.6538780810261482,0.0,19.0
Alex Scott,eng ENG,MF,23,11,1014.0,11.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.7,2.4,24.0,50.0,35.0,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,Bournemouth,2023/24,alex scott,bournemouth,0.08849557522123894,0.08849557522123894,0.17699115044247787,MID,0.03539823007433628,0.018575851387437815,0.03378378377617482,0.03146869813260007,2756000.0,0.0,1.0,2756000.0,0.14850910880861468,0.21189600078439008,5.0,20000000.0,20000000.0,0.1111111111111111,0.2832157342517924,16.811242881518265,0.8844081173998016,0.03558160755411399,19.0
Alexander Isak,se SWE,FW,30,27,2255.0,25.1,21.0,2.0,23.0,16.0,5.0,6.0,1.0,0.0,20.3,15.6,3.7,19.3,68.0,71.0,129.0,0.84,0.08,0.92,0.64,0.72,0.81,0.15,0.96,0.62,0.77,Newcastle United,2023/24,alexander isak,newcastle united,0.8366533864541832,0.0796812749003984,0.9163346613545816,ATT,0.3346613544478087,0.25077399373041054,0.03378378377617482,0.21257673256925722,6240000.0,70.0,14.0,6240014.0,0.34059695192442135,0.6241280411939412,70.0,75000000.0,75000000.0,0.4166666666666667,0.5101829337271764,18.132998684833918,0.9539432237516222,0.22283979217699593,23.0
Alexis Mac Allister,ar ARG,MF,33,31,2599.0,28.9,5.0,5.0,10.0,4.0,1.0,1.0,7.0,1.0,3.7,2.9,3.6,6.4,44.0,209.0,48.0,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.1,0.22,Liverpool,2023/24,alexis mac allister,liverpool,0.17301038062283738,0.17301038062283738,0.34602076124567477,MID,0.06920415222145329,0.04024767800611527,0.027027027020939856,0.048650863558205984,7800000.0,0.0,1.0,7800000.0,0.426605316423202,0.11404159217826339,5.0,75000000.0,75000000.0,0.4166666666666667,0.11676179231139282,18.132998684833918,0.9539432237516222,0.05099969405640342,24.0
Alfie Doughty,eng ENG,DF,37,34,2925.0,32.5,2.0,8.0,10.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,6.3,7.6,94.0,106.0,164.0,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,Luton Town,2023/24,alfie doughty,luton town,0.06153846153846154,0.24615384615384617,0.3076923076923077,DEF,0.024615384605538464,0.012383900924958545,0.04279279278315477,0.02853118073158819,1300000.0,0.0,1.0,1300000.0,0.06823391485801215,0.4181316968147144,5.0,10000000.0,10000000.0,0.05555555555555555,0.5135520092324213,16.118095750958314,0.8479429403073012,0.033647484668913694,23.0
Alfie Gilchrist,eng ENG,DF,11,2,207.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,7.0,4.0,0.43,0.0,0.43,0.43,0.43,0.14,0.0,0.14,0.14,0.14,Chelsea,2023/24,alfie gilchrist,chelsea,0.4347826086956522,0.0,0.4347826086956522,DEF,0.17391304340869565,0.04334365323735491,0.0,0.08692960018138403,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.6213287130635387,5.0,5000000.0,5000000.0,0.027777777777777776,3.1293529498236317,15.424948670398354,0.811477765845207,0.10712492284482797,19.0
Alisson,br BRA,GK,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,2023/24,alisson,liverpool,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,11700000.0,0.0,1.0,11700000.0,0.6416281573623159,0.0,5.0,28000000.0,28000000.0,0.15555555555555556,0.0,17.147715103853763,0.9021092931433401,0.0,30.0
Alphonse Areola,fr FRA,GK,31,31,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham United,2023/24,alphonse areola,west ham united,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,6240000.0,9.3,1.86,6240001.86,0.3405962825969114,0.0,9.3,10000000.0,10000000.0,0.05555555555555555,0.0,16.118095750958314,0.8479429403073012,0.0,30.0
Amad Diallo,ci CIV,"FW,MF",9,3,390.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,11.0,10.0,31.0,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,Manchester United,2023/24,amad diallo,manchester united,0.23255813953488372,0.23255813953488372,0.46511627906976744,ATT,0.09302325577674418,0.03715170277487563,0.05405405404187971,0.0682097245691679,1456000.0,21.3,4.26,1456004.26,0.07683506336667989,0.8877305991543963,21.3,18000000.0,18000000.0,0.1,0.6820904247874311,16.705882371415992,0.8788652975711574,0.07761103680693286,21.0
Amadou Diallo,eng ENG,MF,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,2023/24,amadou diallo,newcastle united,0.0,,,MID,0.0,0.0,0.0,0.0,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.0,5.0,400000.0,400000.0,0.0022222222222222222,0.0,12.899222326086994,0.67860401599919,0.0,20.0
